id,brand,model,price_total,price_vehicle,year,mileage,displacement,transmission,prefecture,category,link,crawl_date,year_ce,mileage_wan_km,displacement_cc,vehicle_class,brand_clean,brand_origin
1068,日産,ノート 1.2 X 衝突軽減B 純正9インチナビ Bluetooth対応 アラウンドビューモニター ETC2.0 LEDヘッドライト フォグライト スマートキー プッシュスタート 電子パーキング ステアリングスイッチ 社外アルミホイール,133.9,123.3,"2021
(R03)","5.4
万km",1200CC,AT,Ishikawa,混合动力,/usedcar/detail/AU6911507383/index.html,2026-06-21,2021,5.4,1200.0,Compact (<=1500cc),Nissan,Domestic
1070,トヨタ,カムリ 2.5 G E-Four 4WD ロングラン保証1年+延長1年(合計2年),329.5,319.0,"2022
(R04)","3.4
万km",2500CC,CVT,Wakayama,混合动力,/usedcar/detail/AU7052611018/index.html,2026-06-21,2022,3.4,2500.0,Large (2001-3000cc),Toyota,Domestic
1071,トヨタ,ヤリスクロス 1.5 ハイブリッド X 衝突被害軽減ブレーキ レーダークルーズ 7インチDAナビ バックカメラ スマートキー ETC 車線逸脱警報 オートハイビーム クリアランスソナー 前後ドラレコ LEDヘッドライト 横滑り防止装置 ワンオーナー,198.3,189.8,"2022
(R04)","2.9
万km",1500CC,CVT,Gunma,混合动力,/usedcar/detail/AU7097584174/index.html,2026-06-21,2022,2.9,1500.0,Compact (<=1500cc),Toyota,Domestic
1072,ホンダ,ジェイド 1.5 ハイブリッド X 純正8inメモリーナビTV Bカメラ ホンダセンシング ETC LEDヘッドライト フォグライト レーダークルーズコントロール 黒革調シートカバー 純正17インチAW LKA EGプッシュスタート スマートキー,68.0,62.8,"2016
(H28)","12.6
万km",1500CC,7AT,Hyogo,混合动力,/usedcar/detail/AU6997617527/index.html,2026-06-21,2016,12.6,1500.0,Compact (<=1500cc),Honda,Domestic
1073,日産,ノート 1.2 S 衝突軽減B 社外ナビ TV ETC プッシュスタート 電子パーキング ステアリングスイッチ ヘッドライトレベライザー 電動格納ミラー オートエアコン,149.9,136.7,"2022
(R04)","0.2
万km",1200CC,AT,Hyogo,混合动力,/usedcar/detail/AU6897430513/index.html,2026-06-21,2022,0.2,1200.0,Compact (<=1500cc),Nissan,Domestic
1074,日産,セレナ 2.0 ハイウェイスター VセレクションII 純正9型ナビ,129.9,111.9,"2019
(R01)","8.8
万km",2000CC,CVT,Fukui,混合动力,/usedcar/detail/AU6894127047/index.html,2026-06-21,2019,8.8,2000.0,Mid-size (1501-2000cc),Nissan,Domestic
1075,日産,セレナ 2.0 ハイウェイスター VセレクションII 両側電動ドア 純正9型ナビ 全周囲カメラ 衝突軽減装置 禁煙車 コーナーセンサー スマートキー LEDヘッド ETC クルコン 純正16インチAW オートハイビーム オートエアコン Bluetooth,129.9,111.9,"2019
(R01)","9.2
万km",2000CC,CVT,Fukushima,混合动力,/usedcar/detail/AU7068564117/index.html,2026-06-21,2019,9.2,2000.0,Mid-size (1501-2000cc),Nissan,Domestic
1076,日産,ノート 1.2 e-POWER X FOUR Vセレクション 4WD 純正メモリーナビ 全周囲カメラ インテリジェントエマージェンシーブレーキ 禁煙車 コーナーセンサー スマートキー LEDヘッド デジタルインナーミラー 車線逸脱警報 オートライト,109.8,93.5,"2020
(R02)","7.6
万km",1200CC,AT,Hokkaido,混合动力,/usedcar/detail/AU6936628964/index.html,2026-06-21,2020,7.6,1200.0,Compact (<=1500cc),Nissan,Domestic
1077,ホンダ,フリード 1.5 e:HEV エアー EX 6人乗り マルチビューカメラ アダプティブハイビーム LEDヘッドランプ ホンダセンシング 両側パワースライドドア シートヒーター ホンダコネクトナビ対応 本革ステアリング リアクーラー 15インチアルミ,308.0,304.0,"2026
(R08)","18
km",1500CC,AT,Aichi,混合动力,/usedcar/detail/AU7047464571/index.html,2026-06-21,2026,0.0018,1500.0,Compact (<=1500cc),Honda,Domestic
1078,トヨタ,ライズ ハイブリッド 1.2 Z 禁煙車 純正9型ディスプレイオーディオ バックカメラ スマートアシスト アダプティブクルーズ ドラレコ ETC シートヒーター コーナーセンサー スマートキー LEDヘッド/フォグ 純正17インチAW,199.9,183.6,"2022
(R04)","4.2
万km",1200CC,AT,Oita,混合动力,/usedcar/detail/AU6986334835/index.html,2026-06-21,2022,4.2,1200.0,Compact (<=1500cc),Toyota,Domestic
1081,トヨタ,シエンタ ハイブリッド 1.5 ファンベース G セーフティ エディションII 禁煙 9型ナビ バックカメラ 両側電動ドア セーフティセンス レーンアシスト オートマチックハイビーム クリアランスソナー クルーズコントロール,205.9,194.5,"2021
(R03)","3.3
万km",1500CC,CVT,Chiba,混合动力,/usedcar/detail/AU7022924257/index.html,2026-06-21,2021,3.3,1500.0,Compact (<=1500cc),Toyota,Domestic
1082,日産,ノート 1.2 S FOUR 4WD 衝突軽減B 純正9インチナビ Bカメラ プッシュスタート 電子パーキング ステアリングスイッチ 電動格納ミラー オートエアコン,149.9,136.8,"2023
(R05)","4.4
万km",1200CC,AT,Fukui,混合动力,/usedcar/detail/AU6983838386/index.html,2026-06-21,2023,4.4,1200.0,Compact (<=1500cc),Nissan,Domestic
1083,トヨタ,プリウスPHV 1.8 A 純正9型ナビ バックカメラ 衝突被害軽減システム レーダークルーズ 禁煙車 パワーシート ドラレコ コーナーセンサー スマートキー LEDヘッド ビルトインETC オートハイビーム 車線逸脱警報,204.9,192.1,"2020
(R02)","5.1
万km",1800CC,CVT,Aichi,混合动力,/usedcar/detail/AU7085130926/index.html,2026-06-21,2020,5.1,1800.0,Mid-size (1501-2000cc),Toyota,Domestic
